label,message
0,"Hey, are we still meeting today?"
1,"""Congratulations! You have won a prize!"""
0,Can you send me the report?
0,"""What time will you arrive?"""
0,"""Please call me when you reach home."""
0,"""Are you coming to the office tomorrow?"""
0,Let's have lunch at 1 PM.
0,"""Your appointment is confirmed for tomorrow."""
0,"""Don't forget to bring the documents."""
1,You won $100000! Claim your reward now!
1,URGENT! Claim your FREE prize!
1,You have been selected for a cash reward!
1,Congratulations! Click here to claim your money!
1,WINNER! You have won a free vacation!
1,"""Claim your exclusive bonus now!"""
1,You have won a FREE gift card!
